Floor Level,Layer,Materials,Mass,Volume,Green Book EC,EPiC EC,ICE EC
LEVEL 11 ROOF LMR,2 COLUMNS - CONC,Concrete,31278.75888568684,14.37079731027858,9240.422670509126,8622.478386167148,5942.242774255524
LEVEL 11 ROOF LMR,2 COLUMNS - CONC,Reinforcement Bar,4625.241114313161,0.5892026897214215,13413.199231508168,13413.199231508168,9204.22981748319
LEVEL 11 ROOF LMR,2 SLABS - CONC,Concrete,81687.17614876606,35.07166831194472,22551.082724580454,21043.000987166834,14501.934938479764
LEVEL 11 ROOF LMR,2 SLABS - CONC,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
LEVEL 11 ROOF LMR,2 SLABS TIMBER,TIMBER - STRUCTURAL,104934.3731,154.9991,111289.3538,266288.4538,53516.530281
LEVEL 11 ROOF LMR,2 WALLS - CONC,Concrete,227209.06447710376,99.64872798434442,64074.13209393346,59789.23679060665,41204.18102377691
LEVEL 11 ROOF LMR,2 WALLS - CONC,Reinforcement Bar,17209.33532289625,2.1922720156555755,49907.072436399125,49907.072436399125,34246.57729256354
LEVEL 12,2 BEAMS-TIMBER,TIMBER - STRUCTURAL,53970.8302,79.7208,57239.5344,136960.3344,27525.123401999997
LMR ROOF,2 BEAMS-TIMBER,TIMBER - STRUCTURAL,2622.979,3.8744,2781.8192,6656.2192000000005,1337.71929
LMR ROOF,2 SLABS - CONC,Concrete,476034.71219309,204.38134254689044,131417.20325765054,122628.80552813427,84510.52016948668
LMR ROOF,2 SLABS - CONC,Reinforcement Bar,20857.116006909986,2.6569574531095554,60485.63642003896,60485.63642003896,41505.66085375087
